ID,Temperatura,Humedad,Alerta
1,27.49,63.04,2
2,29.47,57.70,2
3,21.71,66.23,2
4,21.66,69.41,3
5,34.64,93.94,2
6,30.03,42.97,2
7,26.93,72.11,3
8,22.87,65.50,1
9,20.06,83.73,3
10,26.08,56.07,1
11,29.35,84.74,2
12,21.73,92.07,3
13,21.24,71.32,3
14,21.73,81.82,3
15,32.30,56.23,1
16,18.31,41.97,2
17,28.61,80.12,3
18,29.78,44.74,2
19,27.58,43.55,2
20,23.14,43.92,3
21,34.96,54.36,1
22,17.49,52.99,2
23,28.58,60.73,2
24,19.46,82.99,1
25,29.33,43.04,2
26,22.56,87.90,1
27,28.04,86.37,3
28,26.90,92.43,2
29,30.14,93.31,2
30,23.28,68.24,1
31,30.51,68.56,3
32,34.34,74.54,1
33,34.81,65.93,2
34,23.07,71.82,1
35,19.50,76.71,2
36,16.13,47.14,3
37,31.77,43.23,3
38,25.29,78.61,2
39,23.78,67.81,2
40,17.80,74.54,3
41,31.99,62.73,1
42,27.92,51.51,1
43,32.42,88.33,2
44,16.80,91.84,2
45,30.57,41.60,3
46,21.84,62.22,3
47,18.11,48.58,1
48,33.85,65.47,3
49,33.41,69.15,2
50,31.66,60.60,2
51,23.49,64.42,3
52,19.92,45.02,2
53,16.94,63.48,1
54,25.19,70.18,2
55,16.17,78.68,2
56,15.05,48.66,3
57,32.74,58.68,3
58,25.12,48.63,3
59,24.63,76.41,3
60,22.65,49.06,3
61,22.40,80.36,3
62,32.78,41.94,1
63,17.80,82.92,3
64,24.21,76.97,2
65,30.53,50.04,2
66,20.99,48.88,1
67,22.60,76.32,3
68,26.82,94.77,1
69,29.30,48.68,3
70,31.48,69.14,3
71,15.75,75.43,2
72,24.78,87.53,1
73,25.22,91.03,1
74,25.29,65.94,3
75,18.30,59.02,2
76,19.52,55.14,1
77,22.68,89.31,3
78,16.04,52.46,3
79,22.36,81.59,3
80,30.93,42.22,3
81,27.07,78.76,2
82,16.64,51.13,3
83,33.75,44.34,1
84,15.82,76.15,2
85,34.80,40.82,3
86,27.87,42.05,3
87,15.55,91.75,2
88,19.06,60.75,3
89,28.86,53.68,1
90,20.55,48.71,1
91,32.92,55.78,2
92,20.36,61.29,3
93,22.42,51.16,3
94,30.77,62.88,1
95,25.60,42.45,3
96,19.64,78.30,3
97,23.34,46.75,3
98,18.27,77.12,2
99,24.46,70.61,1
100,22.75,52.62,2
101,26.43,44.42,2
102,16.70,91.07,1
103,31.54,73.88,1
104,32.54,58.81,1
105,33.03,74.63,3
106,26.51,53.33,3
107,16.35,80.12,2
108,19.23,43.61,1
109,27.06,61.38,3
110,16.80,50.77,2
111,34.92,92.01,1
112,16.27,70.63,1
113,18.87,62.74,3
114,29.64,94.55,3
115,16.75,43.17,1
116,17.40,47.57,3
117,32.36,94.56,3
118,20.21,61.41,3
119,30.32,50.55,1
120,27.44,88.98,1
121,18.35,91.32,1
122,26.93,93.39,3
123,17.09,64.50,1
124,30.16,62.00,3
125,20.48,50.32,3
126,31.29,90.51,2
127,32.61,51.14,1
128,34.06,78.85,1
129,28.36,57.98,3
130,31.64,41.51,2
131,24.52,60.39,3
132,31.93,53.76,2
133,25.75,84.59,1
134,24.51,56.00,3
135,22.17,56.90,1
136,20.83,59.46,2
137,24.52,84.25,2
138,29.13,57.17,1
139,27.26,89.30,3
140,17.84,51.45,1
141,34.64,94.89,1
142,27.26,45.61,3
143,30.45,61.23,2
144,28.45,93.09,3
145,31.53,83.74,2
146,26.30,78.85,2
147,15.88,71.54,3
148,29.36,63.88,1
149,22.43,86.94,3
150,17.00,67.43,2
151,30.75,76.37,1
152,17.82,52.83,3
153,30.93,70.95,1
154,22.63,90.35,3
155,33.55,62.43,2
156,17.54,84.79,3
157,34.52,44.23,3
158,30.95,58.49,3
159,17.81,68.38,1
160,17.51,63.77,2
161,27.09,59.93,1
162,23.94,81.03,2
163,15.34,63.74,2
164,19.81,71.36,3
165,33.70,53.05,1
166,32.01,56.16,3
167,19.01,75.96,3
168,21.28,86.75,1
169,21.06,61.98,3
170,30.62,42.24,3
171,23.68,40.63,3
172,28.05,75.28,2
173,24.95,83.34,2
174,20.98,65.28,1
175,19.54,44.03,1
176,23.20,69.65,3
177,23.99,53.77,1
178,33.59,51.38,2
179,21.58,49.38,3
180,23.02,63.31,3
181,33.65,65.26,1
182,17.97,58.09,2
183,17.45,91.16,3
184,21.54,63.15,3
185,24.28,66.35,3
186,25.73,70.53,2
