ID,Presion,Caudal,Vibracion,Estado
1,103.07,75.91,6.47,Normal
2,92.17,25.59,7.16,Normal
3,91.95,42.66,6.38,Normal
4,98.35,76.93,2.94,Normal
5,105.28,23.34,4.17,Normal
6,101.67,10.42,2.82,Normal
7,87.42,44.11,4.26,Normal
8,99.76,65.84,4.92,Normal
9,100.69,72.6,4.6,Crítico
10,96.66,73.22,5.23,Normal
11,94.11,64.64,6.0,Normal
12,115.34,64.95,6.54,Crítico
13,84.32,16.86,4.83,Crítico
14,97.39,55.86,7.25,Normal
15,115.47,11.46,2.55,Precaución
16,87.93,65.64,2.87,Normal
17,110.07,38.96,4.47,Normal
18,90.06,21.9,4.87,Normal
19,88.31,9.19,6.78,Normal
20,103.91,79.29,3.93,Precaución
21,125.68,20.91,4.05,Normal
22,102.35,8.03,6.76,Precaución
23,100.82,79.56,4.64,Normal
24,94.56,68.1,5.23,Normal
25,107.83,66.48,5.74,Normal
26,97.55,22.09,5.24,Normal
27,89.17,27.97,3.02,Crítico
28,110.63,18.09,6.87,Normal
29,117.55,57.09,4.75,Normal
30,93.65,38.86,5.89,Precaución
31,89.72,15.85,5.74,Precaución
32,104.71,64.27,4.46,Precaución
33,100.42,71.92,4.32,Normal
34,97.99,51.68,5.97,Normal
35,107.08,5.1,4.94,Precaución
36,117.93,32.09,2.66,Normal
37,99.83,63.08,4.99,Precaución
38,108.49,34.31,4.98,Crítico
39,87.55,15.62,4.72,Normal
40,87.75,72.63,6.12,Normal
41,101.25,68.69,4.67,Normal
42,109.85,28.08,5.95,Normal
43,103.16,24.06,5.62,Crítico
44,105.78,32.27,6.4,Crítico
45,94.27,10.31,6.05,Normal
46,102.0,75.51,4.07,Normal
47,88.34,76.39,4.31,Normal
48,92.12,33.14,4.12,Normal
49,107.32,5.19,4.82,Precaución
50,85.92,42.65,5.4,Normal
51,92.97,58.72,5.55,Normal
52,105.82,77.45,4.27,Crítico
53,98.93,42.62,2.94,Precaución
54,106.25,9.93,6.29,Normal
55,97.94,49.78,4.97,Crítico
56,87.68,15.36,7.29,Precaución
57,101.96,47.81,4.81,Normal
58,114.93,68.33,4.89,Precaución
59,110.67,58.96,3.88,Precaución
60,106.12,56.96,4.24,Precaución
61,114.24,61.52,5.0,Precaución
62,100.78,25.89,4.72,Normal
63,83.15,39.12,5.56,Precaución
64,94.25,6.01,5.92,Normal
65,97.16,57.88,5.28,Normal
66,104.25,24.64,6.75,Normal
67,104.42,45.36,4.81,Normal
68,100.01,61.7,4.65,Normal
69,106.59,55.48,4.33,Normal
70,112.54,7.47,5.63,Normal
