Municipios,Distritos,Secciones,Sexo,Nacionalidad,Distribución de la renta por unidad de consumo,Periodo,Total,Cod_Postal,Porcentaje
32001 Allariz,No,No,Total,Española,Población con ingresos por unidad de consumo por debajo de 5.000 Euros,2015-01-01,0.0,32001,Bajo
32001 Allariz,No,No,Total,Española,Población con ingresos por unidad de consumo por debajo de 7.500 Euros,2015-01-01,0.0,32001,Bajo
32001 Allariz,No,No,Total,Española,Población con ingresos por unidad de consumo por debajo de 10.000 Euros,2015-01-01,0.0,32001,Bajo
32001 Allariz,No,No,Total,Extranjera,Población con ingresos por unidad de consumo por debajo de 5.000 Euros,2015-01-01,0.0,32001,Bajo
32001 Allariz,No,No,Total,Extranjera,Población con ingresos por unidad de consumo por debajo de 7.500 Euros,2015-01-01,0.0,32001,Bajo
32001 Allariz,No,No,Total,Extranjera,Población con ingresos por unidad de consumo por debajo de 10.000 Euros,2015-01-01,0.0,32001,Bajo
32001 Allariz,No,No,Hombres,Española,Población con ingresos por unidad de consumo por debajo de 5.000 Euros,2015-01-01,0.0,32001,Bajo
32001 Allariz,No,No,Hombres,Española,Población con ingresos por unidad de consumo por debajo de 7.500 Euros,2015-01-01,0.0,32001,Bajo
32001 Allariz,No,No,Hombres,Española,Población con ingresos por unidad de consumo por debajo de 10.000 Euros,2015-01-01,0.0,32001,Bajo
32001 Allariz,No,No,Hombres,Extranjera,Población con ingresos por unidad de consumo por debajo de 5.000 Euros,2015-01-01,0.0,32001,Bajo
32001 Allariz,No,No,Hombres,Extranjera,Población con ingresos por unidad de consumo por debajo de 7.500 Euros,2015-01-01,0.0,32001,Bajo
32001 Allariz,No,No,Hombres,Extranjera,Población con ingresos por unidad de consumo por debajo de 10.000 Euros,2015-01-01,0.0,32001,Bajo
32001 Allariz,No,No,Mujeres,Española,Población con ingresos por unidad de consumo por debajo de 5.000 Euros,2015-01-01,0.0,32001,Bajo
32001 Allariz,No,No,Mujeres,Española,Población con ingresos por unidad de consumo por debajo de 7.500 Euros,2015-01-01,0.0,32001,Bajo
32001 Allariz,No,No,Mujeres,Española,Población con ingresos por unidad de consumo por debajo de 10.000 Euros,2015-01-01,0.0,32001,Bajo
32001 Allariz,No,No,Mujeres,Extranjera,Población con ingresos por unidad de consumo por debajo de 5.000 Euros,2015-01-01,0.0,32001,Bajo
32001 Allariz,No,No,Mujeres,Extranjera,Población con ingresos por unidad de consumo por debajo de 7.500 Euros,2015-01-01,0.0,32001,Bajo
32001 Allariz,No,No,Mujeres,Extranjera,Población con ingresos por unidad de consumo por debajo de 10.000 Euros,2015-01-01,0.0,32001,Bajo
32001 Allariz,3200101 Allariz distrito 01,No,Total,Española,Población con ingresos por unidad de consumo por debajo de 5.000 Euros,2015-01-01,0.0,32001,Bajo
32001 Allariz,3200101 Allariz distrito 01,No,Total,Española,Población con ingresos por unidad de consumo por debajo de 7.500 Euros,2015-01-01,0.0,32001,Bajo
