job_title,company_type,industry,country,city,remote_type,experience_level,min_experience_years,salary_min_usd,salary_max_usd,employment_type,posted_year,company_size,salario_promedio_usd,rango_salarial
MLOps Engineer,Research Lab,Retail,UK,Birmingham,Hybrid,Senior,5.0,152343,179987,Full-time,2020-01-01,Small,166165.0,Top
Applied Scientist,Research Lab,Healthcare,Germany,Hamburg,Hybrid,Senior,5.0,148654,179984,Full-time,2020-01-01,Small,164319.0,Top
MLOps Engineer,MNC,Finance,Canada,Toronto,Hybrid,Senior,5.0,145827,179982,Full-time,2020-01-01,Large,162904.5,Top
MLOps Engineer,Startup,Healthcare,UK,Manchester,Onsite,Senior,5.0,141606,179972,Full-time,2020-01-01,Medium,160789.0,Top
MLOps Engineer,MNC,Retail,Germany,Remote,Remote,Senior,5.0,146222,179971,Full-time,2020-01-01,Large,163096.5,Top
Applied Scientist,MNC,Finance,UK,Remote,Remote,Senior,5.0,142504,179967,Full-time,2020-01-01,Small,161235.5,Top
AI Researcher,Research Lab,Healthcare,India,Remote,Remote,Senior,5.0,143205,179960,Full-time,2020-01-01,Large,161582.5,Top
AI Researcher,Startup,Healthcare,India,Remote,Remote,Senior,5.0,152231,179959,Full-time,2020-01-01,Large,166095.0,Top
Data Analyst,Research Lab,Tech,Australia,Remote,Remote,Senior,5.0,141385,179942,Full-time,2020-01-01,Medium,160663.5,Top
Data Scientist,MNC,Tech,Germany,Munich,Hybrid,Senior,5.0,143047,179938,Full-time,2020-01-01,Small,161492.5,Top
Applied Scientist,Research Lab,Healthcare,India,Remote,Remote,Senior,5.0,150231,179936,Full-time,2020-01-01,Large,165083.5,Top
Machine Learning Engineer,MNC,Healthcare,Germany,Berlin,Onsite,Senior,5.0,142568,179936,Full-time,2020-01-01,Small,161252.0,Top
Data Analyst,Startup,Retail,Australia,Melbourne,Hybrid,Senior,5.0,143918,179933,Full-time,2020-01-01,Large,161925.5,Top
AI Researcher,Startup,Healthcare,India,Delhi,Hybrid,Senior,5.0,144971,179929,Full-time,2020-01-01,Large,162450.0,Top
AI Researcher,Research Lab,Finance,India,Chennai,Onsite,Senior,5.0,151851,179923,Full-time,2020-01-01,Medium,165887.0,Top
Machine Learning Engineer,Research Lab,Finance,Australia,Melbourne,Onsite,Senior,5.0,148110,179921,Full-time,2020-01-01,Large,164015.5,Top
Data Analyst,MNC,Healthcare,Canada,Montreal,Onsite,Senior,5.0,147312,179912,Full-time,2020-01-01,Medium,163612.0,Top
MLOps Engineer,Research Lab,Education,Canada,Vancouver,Hybrid,Senior,5.0,144250,179910,Full-time,2020-01-01,Medium,162080.0,Top
Machine Learning Engineer,Startup,Finance,USA,Seattle,Hybrid,Senior,5.0,151144,179900,Full-time,2020-01-01,Medium,165522.0,Top
MLOps Engineer,MNC,Healthcare,USA,Austin,Onsite,Senior,5.0,141740,179899,Full-time,2020-01-01,Small,160819.5,Top
Applied Scientist,MNC,Education,USA,Austin,Hybrid,Senior,5.0,151414,179883,Full-time,2020-01-01,Small,165648.5,Top
AI Researcher,Startup,Finance,Australia,Remote,Remote,Senior,5.0,146010,179881,Full-time,2020-01-01,Large,162945.5,Top
Data Analyst,MNC,Retail,USA,Remote,Remote,Senior,5.0,141017,179875,Full-time,2020-01-01,Small,160446.0,Top
Machine Learning Engineer,Research Lab,Tech,UK,London,Hybrid,Senior,5.0,141944,179873,Full-time,2020-01-01,Small,160908.5,Top
MLOps Engineer,Research Lab,Finance,USA,Remote,Remote,Senior,5.0,145835,179872,Full-time,2020-01-01,Medium,162853.5,Top
Data Analyst,MNC,Education,Germany,Berlin,Hybrid,Senior,5.0,146199,179868,Full-time,2020-01-01,Medium,163033.5,Top
Data Analyst,Startup,Education,USA,Boston,Hybrid,Senior,5.0,149217,179846,Full-time,2020-01-01,Large,164531.5,Top
Data Analyst,Startup,Healthcare,Australia,Sydney,Hybrid,Senior,5.0,149471,179841,Full-time,2020-01-01,Large,164656.0,Top
Applied Scientist,Startup,Healthcare,USA,San Francisco,Onsite,Senior,5.0,153331,179836,Full-time,2020-01-01,Medium,166583.5,Top
AI Researcher,Startup,Retail,Canada,Montreal,Onsite,Senior,5.0,150669,179833,Full-time,2020-01-01,Medium,165251.0,Top
Machine Learning Engineer,MNC,Retail,Germany,Munich,Onsite,Senior,5.0,140598,179832,Full-time,2020-01-01,Small,160215.0,Top
Applied Scientist,Research Lab,Healthcare,Australia,Sydney,Onsite,Senior,5.0,152569,179799,Full-time,2020-01-01,Medium,166184.0,Top
Applied Scientist,Startup,Retail,UK,London,Hybrid,Senior,5.0,147080,179788,Full-time,2020-01-01,Medium,163434.0,Top
AI Researcher,Startup,Healthcare,UK,Manchester,Onsite,Senior,5.0,147836,179776,Full-time,2020-01-01,Small,163806.0,Top
AI Researcher,Research Lab,Education,Germany,Frankfurt,Onsite,Senior,5.0,150855,179767,Full-time,2020-01-01,Small,165311.0,Top
Data Analyst,Startup,Tech,India,Pune,Hybrid,Senior,5.0,146703,179721,Full-time,2020-01-01,Small,163212.0,Top
Machine Learning Engineer,Research Lab,Tech,Canada,Montreal,Onsite,Senior,5.0,144368,179674,Full-time,2020-01-01,Small,162021.0,Top
Data Scientist,Research Lab,Finance,India,Chennai,Onsite,Senior,5.0,140854,179673,Full-time,2020-01-01,Large,160263.5,Top
MLOps Engineer,Research Lab,Retail,UK,London,Onsite,Senior,5.0,146248,179663,Full-time,2020-01-01,Large,162955.5,Top
Data Scientist,Startup,Healthcare,Germany,Remote,Remote,Senior,5.0,141696,179659,Full-time,2020-01-01,Large,160677.5,Top
Applied Scientist,Startup,Finance,Canada,Vancouver,Hybrid,Senior,5.0,144553,179626,Full-time,2020-01-01,Medium,162089.5,Top
Applied Scientist,Startup,Retail,Australia,Sydney,Onsite,Senior,5.0,148025,179615,Full-time,2020-01-01,Small,163820.0,Top
AI Researcher,Research Lab,Finance,Canada,Remote,Remote,Senior,5.0,153476,179611,Full-time,2020-01-01,Medium,166543.5,Top
AI Researcher,Startup,Finance,UK,London,Hybrid,Senior,5.0,141649,179604,Full-time,2020-01-01,Small,160626.5,Top
Data Analyst,Startup,Retail,India,Remote,Remote,Senior,5.0,148290,179603,Full-time,2020-01-01,Medium,163946.5,Top
MLOps Engineer,Startup,Retail,UK,London,Hybrid,Senior,5.0,144904,179602,Full-time,2020-01-01,Small,162253.0,Top
Data Analyst,Startup,Healthcare,USA,Seattle,Hybrid,Senior,5.0,144078,179592,Full-time,2020-01-01,Large,161835.0,Top
Data Scientist,MNC,Healthcare,Germany,Munich,Hybrid,Senior,5.0,141921,179588,Full-time,2020-01-01,Large,160754.5,Top
Data Scientist,Startup,Retail,India,Remote,Remote,Senior,5.0,143404,179580,Full-time,2020-01-01,Small,161492.0,Top
MLOps Engineer,Research Lab,Healthcare,USA,San Francisco,Onsite,Senior,5.0,141168,179563,Full-time,2020-01-01,Large,160365.5,Top
MLOps Engineer,Research Lab,Education,Canada,Toronto,Hybrid,Senior,5.0,141464,179559,Full-time,2020-01-01,Medium,160511.5,Top
Machine Learning Engineer,Research Lab,Finance,UK,London,Onsite,Senior,5.0,148334,179545,Full-time,2020-01-01,Large,163939.5,Top
MLOps Engineer,Startup,Tech,Australia,Sydney,Hybrid,Senior,5.0,150229,179539,Full-time,2020-01-01,Large,164884.0,Top
Applied Scientist,Research Lab,Finance,USA,Remote,Remote,Senior,5.0,150526,179512,Full-time,2020-01-01,Large,165019.0,Top
