ID_Registro,Pais_Origen,Altitud_km,Duracion_Vuelo_h,Velocidad_Viento_kmh,Tecnologia_Detectada,Cercania_Base_Militar_km,Fecha_Avistamiento,Indice_Maniobra
REG-1000,EE.UU.,150.0,76.1,82.6,Vigilancia Radar,35.4,2023-02-07,49.38
REG-1001,Desconocido,0.5,10.4,94.1,Inteligencia de Señales,103.66,2023-01-31,21.2
REG-1002,EE.UU.,25.24,5000.0,39.2,Vigilancia Radar,34.02,2023-01-31,63.0
REG-1003,China,29.62,23.0,12.3,Meteorológico,60.58,2023-01-02,96.11
REG-1004,Rusia,20.83,26.7,19.0,Meteorológico,246.8,2023-02-06,101.54
REG-1005,EE.UU.,20.83,41.5,116.5,Inteligencia de Señales,7.05,2023-01-17,22.01
REG-1006,EE.UU.,29.9,19.4,42.5,Vigilancia Radar,16.06,2023-01-08,67.12
REG-1007,China,25.84,33.0,94.6,Vigilancia Radar,25.09,2023-01-09,33.77
REG-1008,Rusia,19.65,18.0,78.7,Inteligencia de Señales,27.39,2023-02-27,32.41
REG-1009,China,24.71,24.7,52.0,Meteorológico,26.47,2023-01-29,69.65
REG-1010,Desconocido,19.68,68.3,32.6,Imagen Óptica,119.09,2023-01-15,86.0
REG-1011,EE.UU.,19.67,43.2,23.4,Imagen Óptica,62.59,2023-01-06,79.1
REG-1012,China,23.21,68.1,77.7,Vigilancia Radar,46.81,2023-02-08,40.91
REG-1013,Corea del Norte,12.43,22.8,95.2,Imagen Óptica,18.51,2023-02-16,36.02
REG-1014,EE.UU.,,60.4,80.8,Imagen Óptica,86.8,2023-02-05,39.07
REG-1015,China,19.19,7.8,68.3,Vigilancia Radar,155.12,2023-02-26,51.53
REG-1016,Desconocido,16.94,41.5,14.6,Imagen Óptica,86.07,2023-02-13,110.78
REG-1017,Rusia,23.57,63.2,116.5,Imagen Óptica,0.08,2023-02-15,15.98
REG-1018,Desconocido,17.46,7.4,97.9,Vigilancia Radar,50.59,2023-02-03,27.89
REG-1019,Corea del Norte,14.94,23.0,42.2,Vigilancia Radar,2.62,2023-02-21,63.98
REG-1020,Rusia,29.33,41.5,117.8,,14.89,2023-01-20,24.98
REG-1021,Corea del Norte,20.87,80.0,76.2,,3.07,2023-01-16,44.85
REG-1022,Corea del Norte,,24.7,74.1,Vigilancia Radar,46.29,2023-02-27,41.64
REG-1023,Desconocido,14.88,58.8,92.3,Inteligencia de Señales,58.01,2023-01-14,48.6
REG-1024,Rusia,19.28,103.4,99.3,Meteorológico,6.08,2023-01-14,44.69
REG-1025,Desconocido,22.55,60.7,82.2,Inteligencia de Señales,24.21,2023-01-31,36.46
REG-1026,Rusia,16.25,34.0,24.1,Inteligencia de Señales,30.46,2023-02-05,64.46
REG-1027,Corea del Norte,23.88,52.6,47.2,Meteorológico,23.03,2023-01-28,77.04
REG-1028,Corea del Norte,19.0,24.1,112.1,Meteorológico,6.45,2023-02-28,14.68
REG-1029,EE.UU.,20.54,42.7,34.7,Inteligencia de Señales,27.15,2023-01-10,83.62
REG-1030,China,18.99,35.4,50.9,Imagen Óptica,69.55,2023-02-25,44.67
REG-1031,Desconocido,31.26,51.4,57.5,Vigilancia Radar,3.68,2023-01-18,68.68
REG-1032,EE.UU.,21.93,28.5,58.3,,4.18,2023-02-13,47.08
REG-1033,Desconocido,16.71,53.5,77.4,Meteorológico,21.91,2023-01-30,53.13
REG-1034,Desconocido,,28.3,113.7,Vigilancia Radar,142.13,2023-02-15,20.55
REG-1035,China,15.9,73.5,36.5,Inteligencia de Señales,55.22,2023-02-22,64.91
REG-1036,Rusia,23.04,30.7,23.4,Meteorológico,56.76,2023-01-15,79.55
REG-1037,Corea del Norte,12.2,4.3,31.7,Inteligencia de Señales,22.46,2023-02-08,84.67
REG-1038,China,15.36,16.2,107.6,Vigilancia Radar,45.03,2023-02-14,25.74
REG-1039,EE.UU.,22.98,40.6,81.0,Imagen Óptica,0.51,2023-01-31,49.14
REG-1040,Rusia,25.69,117.7,41.4,Meteorológico,50.54,2023-02-20,90.78
REG-1041,Rusia,22.86,71.6,99.8,Inteligencia de Señales,122.26,2023-02-10,14.5
REG-1042,EE.UU.,21.42,3.2,104.8,Vigilancia Radar,47.41,2023-02-09,42.81
REG-1043,China,20.49,9.5,103.1,Vigilancia Radar,103.45,2023-01-10,28.87
REG-1044,Corea del Norte,14.61,86.9,111.1,Vigilancia Radar,64.36,2023-01-30,13.24
REG-1045,Corea del Norte,18.4,63.0,37.7,,6.42,2023-01-26,60.31
REG-1046,Desconocido,19.7,159.7,93.1,Imagen Óptica,116.37,2023-01-06,32.94
REG-1047,Corea del Norte,27.29,27.4,60.7,Vigilancia Radar,3.44,2023-01-04,66.73
REG-1048,Corea del Norte,23.72,19.0,102.6,Inteligencia de Señales,38.17,2023-01-08,26.9
REG-1049,China,13.18,42.3,90.1,Meteorológico,7.67,2023-02-01,52.04
REG-1050,EE.UU.,,27.0,95.4,Imagen Óptica,0.59,2023-01-21,18.71
REG-1051,Desconocido,20.07,81.5,82.2,Vigilancia Radar,27.41,2023-01-20,42.34
REG-1052,Desconocido,18.62,26.2,29.5,Vigilancia Radar,17.48,2023-02-17,66.83
REG-1053,Rusia,25.06,32.2,70.0,Meteorológico,33.28,2023-01-09,54.64
REG-1054,China,27.15,16.7,118.3,Inteligencia de Señales,43.04,2023-01-24,26.06
REG-1055,EE.UU.,26.66,68.3,113.1,Imagen Óptica,2.24,2023-02-19,16.62
REG-1056,Rusia,,17.7,14.7,Imagen Óptica,6.56,2023-01-06,63.67
REG-1057,Desconocido,20.45,54.2,28.1,Vigilancia Radar,40.89,2023-01-01,82.32
REG-1058,China,23.66,130.9,24.5,Vigilancia Radar,21.02,2023-02-27,87.22
REG-1059,Corea del Norte,26.88,6.3,89.9,Inteligencia de Señales,65.31,2023-01-05,41.11
REG-1060,Corea del Norte,19.6,106.6,100.0,Inteligencia de Señales,52.82,2023-02-24,42.36
REG-1061,EE.UU.,21.07,49.3,33.5,Meteorológico,93.41,2023-02-01,65.84
REG-1062,Rusia,16.47,14.3,65.6,Vigilancia Radar,58.96,2023-02-04,60.88
REG-1063,Rusia,16.02,43.5,102.5,Imagen Óptica,28.1,2023-01-06,40.18
REG-1064,EE.UU.,26.06,67.0,90.6,Meteorológico,55.88,2023-01-05,18.79
REG-1065,Rusia,28.78,20.2,69.6,Inteligencia de Señales,16.11,2023-02-02,54.48
REG-1066,China,21.64,56.5,74.9,Meteorológico,18.29,2023-01-19,42.53
REG-1067,EE.UU.,27.02,112.5,65.9,Inteligencia de Señales,77.79,2023-02-15,53.05
REG-1068,Desconocido,23.81,26.2,42.7,Vigilancia Radar,29.57,2023-02-13,73.59
REG-1069,Desconocido,18.77,16.5,72.2,,80.07,2023-01-27,44.59
REG-1070,EE.UU.,23.81,36.2,85.8,Inteligencia de Señales,86.42,2023-01-26,33.18
REG-1071,Desconocido,29.69,41.8,106.1,Inteligencia de Señales,97.44,2023-02-26,26.07
REG-1072,Corea del Norte,21.82,84.4,80.0,Inteligencia de Señales,124.23,2023-02-06,33.13
REG-1073,EE.UU.,29.82,35.3,93.7,Meteorológico,28.19,2023-02-07,23.55
REG-1074,China,8.9,28.2,27.6,Inteligencia de Señales,19.2,2023-01-10,87.47
REG-1075,Desconocido,26.11,16.1,60.8,Inteligencia de Señales,43.64,2023-02-26,45.95
REG-1076,EE.UU.,22.44,7.5,11.0,Meteorológico,23.19,2023-01-08,98.96
REG-1077,EE.UU.,20.5,11.9,37.1,,45.95,2023-01-01,78.66
REG-1078,Desconocido,22.46,11.8,89.9,Inteligencia de Señales,61.14,2023-01-27,19.81
REG-1079,Corea del Norte,,32.5,119.1,Imagen Óptica,58.3,2023-01-04,9.85
REG-1080,Corea del Norte,20.9,9.2,20.9,Imagen Óptica,23.46,2023-02-23,97.31
REG-1081,Rusia,23.79,38.3,54.2,Vigilancia Radar,9.13,2023-01-13,52.25
REG-1082,Rusia,29.39,129.0,98.0,Vigilancia Radar,28.15,2023-01-04,26.76
REG-1083,Desconocido,19.41,86.0,32.4,Inteligencia de Señales,7.69,2023-01-22,81.94
REG-1084,Corea del Norte,17.96,32.2,71.1,Inteligencia de Señales,110.41,2023-01-02,58.06
REG-1085,Desconocido,19.49,184.4,90.6,Imagen Óptica,21.22,2023-02-18,34.06
REG-1086,Rusia,26.58,41.9,77.8,Meteorológico,8.39,2023-01-16,39.56
REG-1087,China,23.64,46.5,30.7,Inteligencia de Señales,1.29,2023-01-11,92.73
REG-1088,Rusia,,35.7,49.1,Inteligencia de Señales,51.9,2023-02-08,83.02
