Edad conductor,Experiencia conductor,Accidentes previos,Kilometraje anual,Fabricacion coche,Edad coche,Seguro Premium,Sexo
28,10,5,12,2022,3,499.8,Mujer
28,10,5,20,2025,0,499.9,Hombre
53,32,5,24,2023,2,488.7,Hombre
41,9,5,13,2013,12,498.45,Hombre
38,0,5,13,2017,8,501.35,Mujer
50,32,5,22,1990,35,492.5,Hombre
26,8,5,24,2014,11,502.2,Mujer
42,24,5,18,2013,12,494.0,Hombre
31,13,5,20,2018,7,499.1,Hombre
19,1,5,15,2015,10,505.15,Mujer
25,7,5,25,2017,8,502.45,Mujer
35,17,5,21,2005,20,498.45,Hombre
43,13,5,13,2005,20,497.65,Mujer
64,2,5,18,2018,7,495.7,Hombre
42,14,5,25,2017,8,496.95,Mujer
62,26,5,25,1993,32,491.75,Hombre
61,32,5,15,2004,21,488.55,Mujer
50,32,5,17,2014,11,489.85,Hombre
65,1,5,17,2020,5,495.55,Hombre
40,22,5,21,2015,10,494.95,Hombre
44,19,5,14,2004,21,495.8,Mujer
52,10,5,15,2021,4,495.25,Hombre
52,34,5,24,1994,31,491.2,Mujer
19,1,5,19,1993,32,507.55,Mujer
61,9,5,16,1997,28,496.2,Mujer
45,24,5,18,2021,4,492.6,Hombre
20,2,5,24,2018,7,504.8,Hombre
54,5,5,24,2017,8,497.2,Mujer
41,21,5,21,1997,28,496.85,Hombre
49,20,5,18,2016,9,493.5,Mujer
19,1,5,25,1990,35,508.15,Hombre
49,15,5,25,2015,10,495.45,Mujer
21,3,5,14,2007,18,504.9,Hombre
22,4,5,15,1993,32,505.85,Mujer
51,33,5,23,1990,35,492.05,Mujer
65,28,5,14,2012,13,488.1,Mujer
23,5,5,18,1990,35,505.8,Mujer
46,18,5,18,2011,14,495.2,Hombre
49,0,5,25,2015,10,499.95,Hombre
24,2,5,25,2008,17,505.05,Hombre
18,0,5,18,1993,32,508.0,Mujer
40,22,5,14,2018,7,494.3,Hombre
33,15,5,17,2004,21,499.35,Hombre
19,1,5,14,1992,33,507.4,Hombre
18,0,5,16,2013,12,505.9,Hombre
49,22,5,22,2013,12,493.4,Hombre
36,18,5,21,2023,2,496.15,Hombre
42,24,5,21,1994,31,496.05,Hombre
35,17,5,20,2014,11,497.5,Hombre
35,16,5,19,2003,22,498.85,Hombre
52,29,5,23,2005,20,491.55,Mujer
38,1,5,18,2021,4,500.9,Hombre
24,6,5,16,2000,25,504.2,Mujer
34,16,5,24,1999,26,499.7,Hombre
50,28,5,11,2011,14,491.05,Hombre
65,33,5,24,2006,19,487.7,Mujer
39,10,5,14,2010,15,498.9,Mujer
51,33,5,20,1995,30,491.4,Mujer
65,30,5,11,1995,30,489.05,Hombre
52,34,5,18,1992,33,491.1,Hombre
61,11,5,13,2001,24,495.05,Hombre
45,6,5,21,1990,35,501.25,Mujer
47,9,5,17,2006,19,498.15,Mujer
54,0,5,24,2021,4,498.3,Mujer
48,4,5,15,2008,17,499.15,Mujer
49,31,5,23,1995,30,492.55,Mujer
40,8,5,22,2008,17,499.9,Hombre
65,38,5,17,1997,28,486.75,Hombre
62,9,5,14,2000,25,495.6,Mujer
37,11,5,12,1994,31,500.5,Hombre
39,17,5,17,1991,34,498.85,Mujer
59,25,5,19,2002,23,491.45,Mujer
50,15,5,23,2003,22,496.35,Hombre
25,6,5,20,2012,13,503.0,Hombre
22,4,5,13,2009,16,504.15,Hombre
21,3,5,19,2013,12,504.55,Mujer
62,13,5,17,1999,26,494.65,Mujer
64,8,5,14,2018,7,493.7,Mujer
52,7,5,16,1999,26,498.4,Hombre
33,15,5,25,2009,16,499.25,Hombre
46,17,5,14,1995,30,496.9,Mujer
48,14,5,19,2014,11,495.75,Hombre
54,25,5,22,2004,21,492.4,Hombre
48,16,5,16,2022,3,494.2,Mujer
63,23,5,15,1994,31,491.85,Hombre
52,31,5,12,2000,25,490.9,Hombre
58,10,5,12,2025,0,493.5,Mujer
21,2,5,24,1992,33,507.2,Mujer
42,24,5,21,2006,19,494.85,Mujer
52,10,5,21,2010,15,496.65,Hombre
40,22,5,20,1996,29,496.8,Hombre
34,16,5,15,1990,35,500.15,Mujer
65,2,5,17,2003,22,496.95,Mujer
53,12,5,19,1999,26,496.85,Mujer
26,8,5,25,2009,16,502.75,Hombre
33,15,5,15,2001,24,499.55,Hombre
52,34,5,19,2012,13,489.15,Mujer
29,6,5,11,2014,11,501.55,Hombre
42,4,5,23,2010,15,500.55,Mujer
40,9,5,16,2021,4,498.0,Hombre
33,15,5,15,2021,4,497.55,Mujer
59,30,5,13,2005,20,489.35,Mujer
27,9,5,21,2019,6,501.05,Mujer
30,5,5,25,2021,4,501.65,Mujer
26,6,5,13,2010,15,502.65,Mujer
23,5,5,17,2004,21,504.35,Hombre
56,11,5,13,1999,26,496.25,Mujer
45,6,5,12,2002,23,499.6,Hombre
25,7,5,23,2018,7,502.25,Hombre
58,5,5,25,2002,23,497.95,Mujer
55,28,5,15,2015,10,489.85,Mujer
38,20,5,11,2021,4,494.85,Hombre
52,13,5,22,2017,8,495.1,Hombre
37,19,5,14,1990,35,498.6,Mujer
58,2,5,17,2005,20,498.15,Hombre
31,13,5,20,1996,29,501.3,Mujer
27,4,5,21,2019,6,502.55,Hombre
41,23,5,13,1995,30,496.05,Mujer
25,7,5,24,2025,0,501.6,Mujer
54,24,5,25,2009,16,492.35,Mujer
53,28,5,17,2018,7,490.05,Mujer
26,8,5,25,1992,33,504.45,Hombre
37,2,5,18,1993,32,503.6,Mujer
63,24,5,11,1991,34,491.65,Mujer
50,7,5,25,2024,1,496.75,Hombre
64,7,5,23,2017,8,494.55,Hombre
42,17,5,16,2018,7,495.5,Mujer
39,21,5,20,2006,19,496.3,Hombre
22,4,5,13,2019,6,503.15,Hombre
55,14,5,12,2019,6,493.5,Hombre
20,2,5,18,2001,24,506.2,Hombre
54,27,5,11,2000,25,491.65,Mujer
63,32,5,15,2007,18,487.85,Hombre
56,25,5,14,2025,0,489.5,Hombre
20,2,5,25,1999,26,506.75,Mujer
47,8,5,24,1995,30,499.9,Hombre
65,30,5,24,2009,16,488.3,Mujer
64,31,5,25,2009,16,488.25,Mujer
55,19,5,23,2021,4,492.35,Mujer
51,5,5,23,1994,31,500.05,Mujer
35,17,5,13,1995,30,499.05,Mujer
51,13,5,18,2002,23,496.6,Mujer
50,17,5,17,1991,34,496.65,Hombre
59,12,5,16,2016,9,493.8,Hombre
60,27,5,18,2010,15,489.8,Mujer
28,10,5,17,2021,4,500.15,Mujer
29,11,5,14,1994,31,502.2,Hombre
64,13,5,16,2000,25,494.1,Hombre
60,37,5,23,2012,13,486.85,Hombre
65,40,5,21,2000,25,486.05,Hombre
34,13,5,17,2010,15,499.15,Hombre
64,16,5,12,1990,35,494.0,Hombre
41,0,5,22,2011,14,501.8,Hombre
62,11,5,25,2018,7,493.75,Hombre
35,9,5,17,2019,6,499.25,Mujer
52,29,5,12,2002,23,491.3,Mujer
42,0,5,19,1991,34,503.45,Hombre
27,7,5,22,2000,25,503.6,Mujer
37,14,5,21,2005,20,498.95,Hombre
35,17,5,13,2024,1,496.15,Mujer
54,36,5,17,2013,12,487.95,Hombre
23,5,5,15,1992,33,505.45,Mujer
20,0,5,14,2025,0,504.2,Mujer
37,11,5,22,2013,12,499.1,Mujer
45,26,5,15,2012,13,492.75,Hombre
28,7,5,20,2011,14,502.2,Hombre
21,3,5,11,1991,34,506.35,Hombre
19,1,5,19,1994,31,507.45,Mujer
62,25,5,13,2006,19,490.15,Mujer
21,3,5,19,1998,27,506.05,Mujer
56,32,4,17,2002,23,488.35,Mujer
32,11,4,15,2020,5,497.55,Hombre
60,0,4,19,1991,34,498.35,Hombre
40,10,4,14,2011,14,497.1,Hombre
19,1,4,23,2025,0,503.05,Hombre
47,29,4,16,2017,8,489.5,Mujer
39,16,4,19,2010,15,495.85,Mujer
59,23,4,22,1999,26,491.0,Hombre
32,14,4,15,1991,34,499.55,Hombre
64,13,4,12,2017,8,490.7,Mujer
