Season,Difficulty_Level,Map_Name,Team_Name,Team_Code,Points_Scored,Enemies_Defeated,Missions_Completed
2021,Básico,Ciudad Oscura,Forjadores,FOR,1414,385,99
2021,Avanzado,Zona Volcánica,Guardianes,GUA,2918,964,9
2021,Básico,Desierto Rojo,Forjadores,FOR,2569,1332,8
2025,Básico,Zona Volcánica,Pioneros,PIO,1402,1019,80
2023,Básico,Desierto Rojo,Pioneros,PIO,1893,669,24
2022,Intermedio,Bosque Verde,Guardianes,GUA,2056,298,50
2023,Avanzado,Ciudad Oscura,Exploradores,EXP,2381,1198,20
2024,Básico,Zona Volcánica,Sombras,SOM,1981,1282,29
2021,Básico,Desierto Rojo,Sombras,SOM,826,576,115
2021,Intermedio,Ciudad Oscura,Titán,TIT,1994,433,52
2023,Básico,Ciudad Oscura,Guardianes,GUA,2995,1400,26
2025,Avanzado,Desierto Rojo,Nómadas,NOM,2393,877,39
2025,Básico,Ciudad Oscura,Exploradores,EXP,1438,165,108
2023,Intermedio,Ciudad Oscura,Guardianes,GUA,1364,1261,117
2023,Básico,Isla Helada,Pioneros,PIO,2379,392,38
2022,Básico,Zona Volcánica,Sombras,SOM,2894,977,119
2025,Intermedio,Ciudad Oscura,Forjadores,FOR,1066,1143,68
2021,Básico,Bosque Verde,Nómadas,NOM,1155,1493,59
2025,Básico,Isla Helada,Pioneros,PIO,2940,1058,72
2023,Avanzado,Bosque Verde,Guardianes,GUA,2699,646,103
2023,Básico,Ciudad Oscura,Pioneros,PIO,1147,1029,5
2023,Avanzado,Desierto Rojo,Guardianes,GUA,1722,1408,69
2025,Básico,Desierto Rojo,Vigías,VIG,1161,1204,104
2025,Básico,Zona Volcánica,Vigías,VIG,2501,139,19
2023,Intermedio,Desierto Rojo,Exploradores,EXP,1486,1261,15
2021,Avanzado,Isla Helada,Guardianes,GUA,2681,357,21
2024,Avanzado,Desierto Rojo,Sombras,SOM,2661,1342,59
2022,Avanzado,Desierto Rojo,Sombras,SOM,2134,1475,88
2023,Intermedio,Zona Volcánica,Titán,TIT,995,607,33
2021,Intermedio,Bosque Verde,Forjadores,FOR,2910,551,5
2021,Avanzado,Bosque Verde,Forjadores,FOR,776,164,115
2023,Básico,Zona Volcánica,Forjadores,FOR,1640,1470,67
2022,Avanzado,Desierto Rojo,Titán,TIT,1495,1068,108
2024,Básico,Bosque Verde,Guardianes,GUA,2265,825,59
2024,Intermedio,Bosque Verde,Guardianes,GUA,748,924,98
2023,Básico,Desierto Rojo,Forjadores,FOR,1279,1198,62
2022,Intermedio,Desierto Rojo,Sombras,SOM,2394,611,116
2021,Intermedio,Zona Volcánica,Guardianes,GUA,707,1435,74
2021,Básico,Desierto Rojo,Nómadas,NOM,2164,1094,66
2022,Intermedio,Bosque Verde,Nómadas,NOM,2052,104,54
2023,Intermedio,Ciudad Oscura,Pioneros,PIO,2776,1455,96
2024,Básico,Desierto Rojo,Sombras,SOM,1391,219,79
2025,Básico,Ciudad Oscura,Exploradores,EXP,705,1296,66
2025,Avanzado,Desierto Rojo,Exploradores,EXP,2580,264,113
2022,Básico,Zona Volcánica,Guardianes,GUA,1463,926,20
2025,Básico,Zona Volcánica,Exploradores,EXP,835,958,89
2025,Avanzado,Zona Volcánica,Vigías,VIG,1568,518,90
2023,Básico,Ciudad Oscura,Pioneros,PIO,1036,1475,87
2023,Intermedio,Ciudad Oscura,Guardianes,GUA,538,1038,84
2025,Básico,Bosque Verde,Forjadores,FOR,2572,643,21
2023,Básico,Desierto Rojo,Vigías,VIG,1667,423,61
2025,Avanzado,Ciudad Oscura,Exploradores,EXP,2771,713,89
2021,Básico,Ciudad Oscura,Guardianes,GUA,938,1233,24
2023,Intermedio,Zona Volcánica,Forjadores,FOR,1904,516,92
2023,Avanzado,Isla Helada,Sombras,SOM,708,289,86
2024,Intermedio,Bosque Verde,Exploradores,EXP,1866,367,86
2023,Básico,Isla Helada,Pioneros,PIO,2797,119,19
2021,Avanzado,Desierto Rojo,Exploradores,EXP,2012,1292,75
2022,Intermedio,Desierto Rojo,Exploradores,EXP,1762,846,120
2021,Intermedio,Desierto Rojo,Forjadores,FOR,921,824,104
