FECHA;DIA;Co01TMax;Co01HTMax;Co01TMin;Co01HTMin;Co01TMed;Co01HumMax;Co01HumMin;Co01HumMed;Co01VelViento;Co01VelVientoMax;Co01DirViento;Co01Rad;Co01Precip;Co01ETo
30/04/26;120;23.4;14:34;7.0;3:08;15.2;97.9;31.4;69.3;0.7;4.3;215.9;22.5;0.2;3.7
29/04/26;119;19.2;16:12;11.4;23:56;15.7;94.1;66.0;84.7;1.6;5.7;180.0;11.3;0.0;2.3
28/04/26;118;24.9;13:12;10.8;5:28;17.8;97.3;40.6;75.3;1.2;5.3;176.2;17.7;0.0;3.6
27/04/26;117;25.8;15:20;8.4;4:38;17.9;97.5;29.2;67.4;1.2;5.2;142.5;22.6;0.2;4.3
26/04/26;116;25.0;14:56;11.0;--:--;17.4;98.1;33.9;71.3;1.2;6.2;147.9;22.7;0.0;4.2
25/04/26;115;22.1;16:54;13.0;5:34;16.2;98.0;46.4;83.5;1.1;5.8;135.5;13.5;6.6;2.8
24/04/26;114;21.8;16:00;13.1;23:54;16.7;97.6;48.9;72.5;1.0;5.7;221.7;9.7;12.8;2.3
23/04/26;113;27.3;13:06;8.4;5:48;18.0;96.2;29.2;64.3;0.9;4.3;223.0;18.0;0.0;3.7
22/04/26;112;25.8;15:54;8.7;5:24;17.1;95.5;28.9;64.6;1.0;4.5;175.5;21.3;0.0;4.0
21/04/26;111;26.6;16:12;9.2;3:38;17.9;89.9;23.0;55.0;2.3;11.6;156.1;12.3;0.0;4.4
20/04/26;110;28.4;14:52;7.0;5:28;17.9;92.4;19.0;55.3;0.8;5.3;168.5;21.0;0.0;4.1
19/04/26;109;27.8;13:56;7.0;5:34;18.0;85.9;19.0;51.4;0.9;5.5;179.0;21.5;0.0;4.2
18/04/26;108;28.4;15:38;8.2;5:54;18.6;88.7;14.9;50.2;1.2;6.5;154.3;21.1;0.0;4.6
17/04/26;107;27.7;14:38;7.9;5:22;17.9;94.8;26.1;61.0;0.8;4.7;163.5;19.4;0.0;3.8
16/04/26;106;27.4;15:16;5.5;5:34;16.8;96.2;27.1;62.0;0.9;5.4;163.8;19.7;0.0;3.8
15/04/26;105;24.8;16:48;5.4;5:34;15.2;96.3;30.3;66.1;0.8;3.3;264.8;21.0;0.0;3.6
