,sensor de humedad del suelo  1 [%],sensor de humedad del suelo  2 [%],sensor de humedad del suelo  3 [%],sensor de humedad del suelo  4 [%],sensor de humedad del suelo  5 [%],sensor de humedad del suelo  6 [%],sensor de humedad del suelo  7 [%],sensor de humedad del suelo  8 [%],sensor de temperatura del suelo  1 [°C],,,sensor de temperatura del suelo  2 [°C],,,sensor de temperatura del suelo  3 [°C],,,sensor de temperatura del suelo  4 [°C],,,sensor de temperatura del suelo  5 [°C],,,sensor de temperatura del suelo  6 [°C],,,sensor de temperatura del suelo  7 [°C],,,sensor de temperatura del suelo  8 [°C],,,Batería [mV],Panel solar [mV]
Fecha / Hora,promedio,promedio,promedio,promedio,promedio,promedio,promedio,promedio,promedio,máx,mín,promedio,máx,mín,promedio,máx,mín,promedio,máx,mín,promedio,máx,mín,promedio,máx,mín,promedio,máx,mín,promedio,máx,mín,última,última
2024-06-30 16:00:00,18.11,24.96,25.04,26.78,26.03,28.04,26.78,26.67,25.3,25.57,24.95,23.46,23.56,23.33,23.36,23.42,23.32,23.56,23.56,23.56,23.79,23.8,23.77,23.79,23.8,23.78,23.79,23.8,23.79,23.76,23.79,23.74,6849,10569
2024-06-30 15:00:00,17.97,24.94,25.05,26.8,26.05,28.06,26.79,26.69,24.36,24.85,24.06,23.28,23.32,23.2,23.32,23.33,23.32,23.56,23.58,23.56,23.8,23.8,23.8,23.81,23.84,23.8,23.8,23.81,23.79,23.78,23.8,23.77,6844,10022
2024-06-30 14:00:00,17.89,24.92,25.03,26.79,26.07,28.05,26.79,26.63,23.86,24.03,23.68,23.14,23.2,23.09,23.32,23.32,23.31,23.59,23.64,23.56,23.8,23.8,23.8,23.87,23.89,23.85,23.81,23.84,23.79,23.79,23.8,23.77,6844,10506
2024-06-30 13:00:00,17.88,24.93,25.02,26.78,26.08,28.05,26.8,26.68,23.54,23.67,23.44,23.01,23.09,22.96,23.31,23.32,23.31,23.65,23.67,23.61,23.81,23.84,23.8,23.89,23.9,23.88,23.82,23.84,23.8,23.8,23.8,23.79,6849,10471
2024-06-30 12:00:00,17.87,24.91,25.04,26.79,26.08,28.06,26.8,26.71,23.31,23.44,23.09,22.85,22.94,22.77,23.32,23.32,23.31,23.67,23.67,23.67,23.87,23.92,23.82,23.9,23.9,23.89,23.85,23.89,23.83,23.8,23.8,23.8,6849,10400
2024-06-30 11:00:00,17.84,24.85,25.05,26.81,26.1,28.07,26.79,26.74,22.77,23.09,22.49,22.73,22.77,22.72,23.33,23.38,23.32,23.73,23.79,23.67,23.92,23.92,23.9,23.9,23.9,23.9,23.87,23.89,23.84,23.8,23.8,23.8,6844,10518
2024-06-30 10:00:00,17.8,24.83,25.01,26.81,26.12,28.08,26.79,26.74,22.17,22.48,21.9,22.73,22.73,22.72,23.43,23.45,23.37,23.79,23.79,23.78,23.92,23.92,23.92,23.9,23.9,23.9,23.88,23.9,23.86,23.8,23.8,23.8,6838,10223
2024-06-30 09:00:00,17.71,24.85,25.05,26.81,26.13,28.1,26.8,26.75,21.57,21.78,21.44,22.78,22.85,22.73,23.52,23.56,23.45,23.82,23.87,23.79,23.92,23.93,23.92,23.9,23.91,23.9,23.9,23.91,23.89,23.8,23.8,23.8,6824,8789
2024-06-30 08:00:00,17.65,24.87,25.06,26.79,26.15,28.11,26.8,26.74,21.43,21.43,21.42,22.91,22.97,22.85,23.6,23.67,23.56,23.9,23.91,23.88,23.93,23.95,23.92,23.9,23.91,23.9,23.9,23.91,23.89,23.8,23.8,23.8,6720,7024
